,DEPT,HCAL,GR,DTCO,DTSM,NPHI,RHOZ,PEFZ,facies,facies_number,Kmeans
365,10857.0,8.6296,53.0726,56.924,104.5904,0.06,2.697,4.5399,shale,2,2
366,10857.5,8.652,57.2593,57.1118,105.2912,0.0669,2.698,4.5431,shale,2,2
367,10858.0,8.652,56.9602,57.6327,105.8837,0.0599,2.7051,4.5329,shale,2,2
368,10858.5,8.652,55.9227,58.8005,106.59,0.0601,2.713,4.5365,shale,2,2
369,10859.0,8.652,47.8997,59.3396,106.7363,0.051,2.7246,4.5219,clean,1,2
370,10859.5,8.6296,46.4045,59.1193,106.4341,0.0435,2.7288,4.5196,clean,1,2
371,10860.0,8.6296,43.7298,58.569,106.4497,0.0381,2.7447,4.4313,clean,1,2
372,10860.5,8.6296,47.5602,58.4604,105.7384,0.0356,2.7539,4.3449,clean,1,2
373,10861.0,8.6296,48.7565,58.4527,105.0023,0.0387,2.759,4.2601,clean,1,2
374,10861.5,8.6296,51.7507,57.6586,103.7125,0.0494,2.7357,4.3155,shale,2,2
375,10862.0,8.6296,55.046,56.5938,102.912,0.0622,2.709,4.4087,shale,2,2
376,10862.5,8.652,56.8404,55.517,102.5389,0.0682,2.6964,4.4901,shale,2,2
377,10863.0,8.6296,55.7627,55.2422,102.1801,0.0634,2.7103,4.5093,shale,2,2
378,10863.5,8.6071,55.1646,56.3271,101.6855,0.0555,2.731,4.5328,shale,2,2
379,10864.0,8.6296,50.6788,56.2725,101.2485,0.051,2.7501,4.5116,shale,2,2
380,10864.5,8.6296,56.5208,55.0247,101.3207,0.051,2.7464,4.5046,shale,2,2
381,10865.0,8.6296,48.7105,54.9785,102.1467,0.0419,2.7284,4.5694,clean,1,2
382,10865.5,8.6296,43.0285,55.007,102.2284,0.0372,2.7177,4.6424,clean,1,2
383,10866.0,8.652,35.27,56.3889,102.5283,0.024,2.7149,4.732,clean,1,2
384,10866.5,8.652,37.3081,56.4909,102.8472,0.0237,2.7219,4.7381,clean,1,2
385,10867.0,8.652,40.5977,56.5197,103.3541,0.0228,2.715,4.8018,clean,1,2
386,10867.5,8.652,40.2983,56.7969,103.8145,0.026,2.7105,4.8595,clean,1,2
387,10868.0,8.6296,39.7902,57.0405,103.6692,0.0227,2.7126,4.8783,clean,1,2
388,10868.5,8.6296,37.9959,56.878,102.7058,0.0219,2.7196,4.8434,clean,1,2
